udid,install_date,lang,country,hw_ver,os_ver
d2a6eb2afc7f46888ed685bdd974a45c,3/3/2016,en,CA,"iPhone4,1",9.1
717808967d4a4064accd91acc727025f,3/3/2016,en,US,"iPad2,7",8.3
29fda673a0964f86be7830d658518559,3/3/2016,en,IN,"iPhone8,1",9.2.1
5b0a11c39c244da6b1ec7c3cdd75fbed,3/4/2016,en,AU,"iPhone5,4",9.2.1
0b3fefcd8e094f1588a6310ea9792f06,3/4/2016,zh,Ha,"iPad2,1",9.2.1
d3041b5c591843efb3e552f784b05d6c,3/4/2016,en,BD,"iPad3,4",9.2.1
296829a35f4a448e95b073cc57208fee,3/4/2016,en,AU,"iPad4,1",9.2.1
eea42d53aaa34585842e3002ad9aa298,3/4/2016,th,US,"iPhone7,2",9.2.1
b693c3d1f301461c9b1e860cdaa61e79,3/4/2016,en,US,"iPhone7,2",9.2.1
b3e2749ce2fe4b8c893cff868cd04502,3/4/2016,tr,TR,"iPhone6,2",9.2.1
96a77b9f6e40449c92373341d7e3281a,3/4/2016,tr,TR,"iPhone5,2",9.2.1
bf2390fd794d4572a6d1854d50e602bc,3/4/2016,en,US,"iPhone8,1",9.2.1
34103fb2322443329a1e16de7b7902ba,3/4/2016,en,GB,"iPad4,4",9.2.1
d9df260b9a1446faa6b5abb69d1b6da4,3/4/2016,en,TH,"iPhone4,1",8.3
c0a99787891847efa8f68264cf4b086c,3/4/2016,en,US,"iPhone5,3",9.2
f62b7abb50414052be3bd67cbad097b8,3/4/2016,en,US,"iPhone6,1",9.2.1
3bc125755ca8462793f773b9f0ab0e10,3/4/2016,en,US,"iPhone4,1",9.2
d18aff8bb9d344f9b840571d1ec4774b,3/4/2016,es,US,"iPhone5,1",9.2.1
b12212a89d4b43099befee5499aab281,3/4/2016,en,US,"iPhone7,2",9.1
1e9b71232e0948e494edcc78c9ec5c41,3/4/2016,en,US,"iPhone7,2",9.2
38c8e29c9c684feb8667f36b4dc6580b,3/4/2016,pt,BR,"iPad5,3",9.2.1
