udid,lang,country,hw_ver,os_ver,purchased,morning,afternoon,night,weekday,weekend,duration,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,first_week_count,first_week_avg,days_played_firstweek,second_week_count,second_week_avg,days_played_secondweek
1dac5367755f4573aae1126f62d3b990,pt,BR,"iPhone5,2",9.1,N,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
bcaaee35f7964007bd8edcd1cab3356a,en,GB,"iPad2,5",8.4.1,N,42,2,10,42,12,52,1,0,0,3,0,0,0,0,0,0,0,0,2,0,4,1,2,2,0,1
2b014991604d44f488f13c25d13a54f9,en,US,"iPhone6,1",9.2.1,N,29,19,1,44,5,14,14,7,6,5,1,4,7,1,3,0,0,0,0,0,44,6,7,4,1,2
d0d64ea91b214ebc90dd791083aededb,it,IT,"iPhone6,2",9.2.1,N,17,14,4,29,6,12,17,0,1,4,0,2,1,1,2,2,1,2,2,0,25,4,5,10,1,6
ab1b2380e4b746079cf6c25378ef2fb3,nl,NL,"iPhone5,2",9.2,N,46,13,15,60,14,7,2,13,9,9,2,12,26,1,0,0,0,0,0,0,73,10,7,1,0,1
a2b5a7aaaf48439e86e93718f02e0921,en,GB,"iPad2,5",9.2.1,N,1,4,0,4,1,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2,0,0,0
28856852b12e17a564c58b4b88e65f0bf7d6c1c0,en,US,"iPod4,1",6.1.6,N,0,4,0,4,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
c9cac42a3312454f9e7ce25b17e4523c,en,US,"iPhone7,2",9.2.1,N,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
21e341dd3183468b9ce921f962d6090c,en,US,"iPhone6,1",9.2.1,N,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
ad0c0a2d569f40aaa0ad05d95a6d8364,en,US,"iPhone6,1",9.2.1,N,1,17,2,17,3,36,10,3,3,0,0,0,0,0,0,0,0,0,3,0,16,2,3,3,0,1
dcad259c028f472783f0591016a8ebe4,en,US,"iPhone6,1",9.2.1,N,0,4,0,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0
2b847a6d4d844653a499ab7c91f53f9a,en,US,"iPad2,1",9.2,N,0,8,0,8,0,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0
2a5a213533614391899a78267cf4bd4d,en,US,"iPhone6,1",9.2.1,N,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
bdaf2161f60d40e798e3ffb61299f607,en,US,"iPhone4,1",8.3,N,0,2,2,4,0,10,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,1
df77b8afbbd1481883a855594c9b0581,en,US,"iPhone5,3",9.2.1,N,3,15,7,25,0,2,7,15,3,0,0,0,0,0,0,0,0,0,0,0,25,4,3,0,0,0
e362f4558bb845ac810ecaa0cfd1180c,en,US,"iPhone7,2",9.2.1,N,22,15,4,30,11,26,5,9,5,4,8,0,6,1,0,0,0,1,0,0,37,5,6,2,0,2
f93e6b260d67421dbcccbc388ae236a5,en,US,"iPhone8,1",9.2,N,42,89,6,98,39,8,6,11,7,8,16,23,12,20,30,4,0,0,0,0,83,12,7,54,8,3
431a7037a5d94ed1bd4dfa51c3df36d5,en,US,"iPod5,1",9.2.1,N,0,3,1,4,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
c78247f495024811aa6173470547e4bb,en,US,"iPad4,1",9,Y,14,30,15,50,9,14,4,10,1,3,3,0,1,0,5,12,5,3,3,4,22,3,6,32,5,6
